Word,Iconicity,ipa,1_syl,2_son,3_cons,4_cont,5_delrel,6_lat,7_nas,8_strid,9_voi,10_sg,11_cg,12_ant,13_cor,14_distr,15_lab,16_hi,17_lo,18_back,19_round,20_velaric,21_tense,22_long,23_hitone,24_hireg,phon_pred
uninspired,0.4487179487179488,ʌnɪnspajɹ̩d,0.4,0.7,0.5,0.6,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.6,0.5,0.0,0.1,0.3,0.1,0.2,0.1,0.0,0.2,0.0,0.0,0.0,0.42884450534285345
apart,0.4444444444444444,əpɑɹt,0.4,0.6,0.4,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.4,0.0,0.2,0.2,0.2,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.42882925696528035
viola,0.5454545454545454,vajowlə,0.4285714285714285,0.8571428571428571,0.2857142857142857,1.0,0.0,0.1428571428571428,0.0,0.1428571428571428,1.0,0.0,0.0,0.2857142857142857,0.1428571428571428,0.0,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.4285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.4288263695080358
talent,0.3166666666666666,tælənt,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.0,0.1666666666666666,0.1666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.42882530167097893
applause,0.5333333333333333,əplɔz,0.4,0.6,0.6,0.8,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.6,0.4,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.428822712944384
amidst,0.4333333333333333,əmɪdst,0.3333333333333333,0.5,0.6666666666666666,0.5,0.0,0.0,0.1666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.5,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.4287831389657045
uproar,0.6363636363636364,ʌpɹɔɹ,0.4,0.8,0.2,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.6,0.4,0.0,0.2,0.4,0.0,0.8,0.6,0.0,0.2,0.0,0.0,0.0,0.42877124470387995
mullet,0.3666666666666667,mʌlət,0.4,0.8,0.6,0.6,0.0,0.2,0.2,0.0,0.8,0.0,0.0,0.6,0.4,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.42876289406815493
misdemeanor,0.4333333333333333,mɪsdəminɹ̩,0.4444444444444444,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.0,0.0,0.3333333333333333,0.0,0.8888888888888888,0.0,0.0,0.6666666666666666,0.4444444444444444,0.0,0.2222222222222222,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.4287573367520621
hypothetical,0.4583333333333333,hajpəθɛtəkəl,0.4166666666666667,0.6666666666666666,0.5,0.75,0.0,0.0833333333333333,0.0,0.0,0.5833333333333334,0.0,0.0,0.3333333333333333,0.25,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.3333333333333333,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.4287459206433529
